#수도
보르네오섬동부칼리만탄,보르네오섬 동부 칼리만탄
반다르스리브가완,반다르스리브가완
부에노스아이레스,부에노스아이레스
스테파나케르트,스테파나케르트
포트오브스페인,포트오브스페인
세인트조지스,세인트 조지스
안타나나리보,안타나나리보
쿠알라룸푸르,쿠알라룸푸르
브라티슬라바,브라티슬라바
포르토프랭스,포르토 프랭스
안도라라베야,안도라라베야
아디스아바바,아디스아바바
이슬라마바드,이슬라마바드
포트모르즈비,포트모르즈비
프리토리아,프리토리아
암스테르담,암스테르담
서울특별시,서울 특별 시
산토도밍고,산토도밍고
부쿠레슈티,부쿠레슈티
룩셈부르크,룩셈부르크
멕시코시티,멕시코시티
포트루이스,포트루이스
포드고리차,포드고리차
울란바토르,울란바토르
워싱턴디씨,워싱턴 디 씨
브리지타운,브리지 타운
포르토노보,포르토 노보
브라질리아,브라질리아
베오그라드,베오그라드
캐스트리스,캐스트리스
하르게이사,하르게이사
파라마리보,파라마리보
다마스쿠스,다마스쿠스
레이캬비크,레이캬비크
세인트존스,세인트 존스
산살바도르,산살바도르
테구시갈파,테구시갈파
몬테비데오,몬테비데오
평양직할시,평양 직할시
프리슈티나,프리슈티나
야무수크로,야무수크로
누쿠알로파,누쿠알로파
아슈하바트,아슈하바트
응게룰무드,응 게 룰 무드
부다페스트,부다페스트
리브르빌,리브르빌
조지타운,조지 타운
과테말라,과테말라
코나크리,코나크리
빈트후크,빈트후크
츠힌발리,츠힌발리
카트만두,카트 만 두
코펜하겐,코펜하겐
비엔티안,비엔티안
몬로비아,몬로비아
모스크바,모스크바
베이루트,베이루트
트리폴리,트리 폴리
누악쇼트,누악쇼트
키시너우,키시너우
팔리키르,팔리키르
포트빌라,포트빌라
카라카스,카라 카스
사라예보,사라예보
가보로네,가보로네
와가두구,오 아 가두 구
사이판섬,사이판섬
니코시아,니코시아
엘아이운,엘아이운
산마리노,산마리노
빅토리아,빅토리아
킹스타운,킹스타운
바스테르,바스테르
모가디슈,모가디슈
호니아라,호니아라
스톡홀름,스톡홀름
마드리드,마드리드
류블랴나,류블랴나
프리타운,프리 타운
싱가포르,싱가포르
아스마라,아 스마라
음바바네,음바바네
무스카트,무스 카트
타슈켄트,타슈켄트
바그다드,바그다드
텔아비브,텔아비브
트빌리시,트빌리시
타이베이,타 이베이
은자메나,은자메나
산티아고,산티아고
프라이아,프라 이 아
누르술탄,누르술탄
나이로비,나이로비
브라자빌,브라자빌
쿠웨이트,쿠웨이트
아바루아,아 바루아
자그레브,자그레브
비슈케크,비슈케크
푸나푸티,푸나푸티
티라스폴,티라스폴
아순시온,아순시온
바르샤바,바르샤바
하갓냐,하갓냐
아테네,아테네
비사우,비 사우
아부자,아 부자
오슬로,오슬로
웰링턴,웰링턴
알로피,알 로 피
니아메,니아메
마나과,마나과
베를린,베를린
마세루,마세 루
키갈리,키 갈리
빌뉴스,비 ᆯ 뉴스
파두츠,파두츠
마주로,마주 로
스코페,스코페
릴롱궤,릴롱궤
바마코,바마코
모나코,모나코
라바트,라바트
마푸투,마푸투
발레타,발레타
네피도,네 피도
마나마,마나마
바티칸,바티칸
하노이,하노이
브뤼셀,브뤼셀
민스크,민스크
벨모판,벨모판
수크레,수크레
기테가,기테가
소피아,소피아
아피아,아피아
리야드,리야드
상투메,상투메
다카르,다 카르
하르툼,하르툼
콜롬보,콜롬보
두바이,두 바이
예레반,예레반
더블린,더블린
티라나,티라나
수후미,수후미
루안다,루안다
캔버라,캔버라
캄팔라,캄팔라
키예프,키예프
카디프,카디프
테헤란,테헤란
카이로,카이로
뭄바이,뭄바이
킹스턴,킹스턴
루사카,루사카
말라보,말라보
베이징,베이징
지부티,지부티
하라레,하라레
프라하,프라 하
야운데,야운데
프놈펜,프놈펜
오타와,오타 와
모로니,모로니
산호세,산호세
보고타,보고 하 다
킨샤사,킨샤사
아바나,아바 나
타라와,타라 와
두샨베,두샨베
도도마,도도마
앙카라,앙카 라
튀니스,튀니스
파나마,파나마
라말라,라말라
리스본,리스본
산후안,산후안
헬싱키,헬싱 키
마닐라,마닐라
반줄,반 줄
누크,누크
야렌,야렌
주바,주바
로조,로조
딜리,딜리
리가,리가
말레,말레
나소,나소
다카,다카
팀푸,팀푸
베른,베른
바쿠,바쿠
카불,카불
알제,알 제
탈린,탈린
키토,키토
런던,런던
사나,사나
암만,암만
로마,로마
도쿄,도쿄
방기,방기
도하,도하
방콕,방콕
로메,로메
리마,리마
파리,파리
수바,수바
빈,빈
