의생활의 기구	식생활의 기구	주생활의 기구
재봉틀	가스레인지	멀티탭
전기다리미	전기밥솥	충전기
전기세탁기	전기오븐	보조배터리
빨래 건조기	토스터	도어락
보풀 제거기	전기주전자	시계
의류관리기	전기그릴	벽걸이 시계
전기면도기	전기찜솥	탁상 시계
코털정리기	믹서	회중 시계
전기이발기	전자레인지	손목 시계
헤어 드라이어	전기레인지	타이머
헤어 아이론	에어 프라이어	스톱워치
전자 비데	튀김기	스마트워치
전동 칫솔	에스프레소 머신	손전등
칫솔살균기	커피메이커	형광등
구강세정기	와플기	백열등
	반죽기	스탠드
	제빵기	온풍기
	제면기	전기 난로
	빙수기	전기 히터
	제빙기	전기 담요
	생수기	전기 장판
	냉장고	에어컨
	냉동고	냉풍기
	김치냉장고	선풍기
	전기 온장고	에어 서큘레이터
	식기세척기	가습기
	식기건조기	제습기
	디스포저	공기청정기
	음식물처리기	환풍기
		레인지 후드
		진공 청소기
		로봇 청소기
		전화기
		휴대폰
		팩스
		무전기
		텔레비전
		세트톱 박스
		모니터
		DVD 플레이어
		블루레이 플레이어
		PMP
		라디오
		오디오
		턴테이블
		스피커
		카세트 플레이어
		CD 플레이어
		녹음기
		보이스 레코더
		MP3 플레이어
		홈 시어터
		마이크
		이어폰
		헤드폰
		전자악기
		카메라
		필름 카메라
		디지털 카메라
		미러리스
		DSLR
		캠코더
		액션캠
		데스크탑
		본체
		키보드
		마우스
		PDA
		노트북
		태블릿 PC
		복합기
		스캐너
		프린터
		복사기
		전자계산기
		전자수첩
		전자노트
		코팅기
		문서 세단기
		전자사전
		전자책 단말기
		전자체온계
		안마 의자
		안마기
		족욕기
		게임기
